                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6812,                  3.435,                 2.8671,                 1.7878,                0.00333,                  0.625,                 0.0087,                0.00268,                  0.004,                   0.75,                0.00664,                0.00231,                 1.8499,                 4.6461,                 4.3734,                 2.0024,                0.00038,                0.00038,                0.00038
                      2,                 1.7834,                 3.1109,                 3.5012,                 1.8264,                0.02934,                  0.375,                0.02158,                0.00437,                0.00345,                  0.125,                0.00173,                0.00081,                 2.5774,                  6.857,                 10.533,                 2.7016,             0.00077228,             0.00077228,             0.00077228
                      3,                 1.6819,                 2.8766,                 3.5786,                 1.6888,                0.02934,                  0.375,                0.02158,                0.00437,                0.00345,                  0.125,                0.00173,                0.00081,                 3.8321,                 3761.4,             1.7768e+05,                 1944.1,              0.0011566,              0.0011566,              0.0011566
                      4,                 1.8002,                 3.0636,                 3.3208,                 1.9236,                 0.0098,                  0.125,                0.00208,                0.00026,                0.00093,                  0.125,                0.00055,                  5e-05,                 5.1214,                 14.405,                 14.325,                   5.76,              0.0015331,              0.0015331,              0.0015331
                      5,                 1.9292,                 3.8112,                 3.1292,                 2.0036,                0.00216,                   0.25,                0.01043,                0.00431,                      0,                      0,                      0,                      0,                 3.5987,                 38.807,                 3.1509,                 5.9841,              0.0019016,              0.0019016,              0.0019016
                      6,                 2.3982,                 3.6295,                  3.354,                 2.4243,                0.00374,                  0.125,                0.00428,                 0.0011,                      0,                      0,                      0,                      0,                 3.7875,                 462.86,                 235.94,                 23.863,               0.001901,               0.001901,               0.001901
                      7,                 2.5161,                 3.5274,                   3.25,                 2.5812,                0.00465,                  0.375,                0.00399,                0.00104,                0.00155,                  0.125,                0.00077,                0.00033,                 3.0485,                 257.71,                 3207.1,                 48.646,               0.001901,               0.001901,               0.001901
                      8,                 2.3449,                 3.5402,                 2.9642,                 2.3738,                0.00068,                  0.125,                0.00054,                0.00013,                      0,                      0,                      0,                      0,                 3.7405,                 6324.7,                  16872,                 637.97,              0.0018812,              0.0018812,              0.0018812
                      9,                  2.317,                 3.3984,                 2.7997,                 2.2935,                0.00458,                   0.25,                0.00456,                0.00118,                0.00229,                  0.125,                0.00148,                0.00025,                 3.2319,                 108.22,                 2573.3,                 93.314,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.5125,                 3.3721,                 2.7532,                 2.4084,                0.00223,                  0.375,                0.00176,                0.00067,                0.00149,                   0.25,                0.00142,                0.00033,                 3.5351,                 778.69,                 5706.2,                 61.509,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.3921,                 3.1321,                  2.919,                 2.3328,                0.00542,                  0.375,                0.00493,                0.00302,                0.00722,                    0.5,                0.00912,                0.00234,                 3.5172,                 48.432,                 1671.1,                 19.872,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.2982,                 3.2084,                 2.9575,                 2.2393,                0.24213,                  0.125,                0.05987,                0.01317,                      0,                      0,                      0,                      0,                 3.3468,                 52.569,                 5.8885,                 7.1606,               0.001802,               0.001802,               0.001802
                     13,                 2.2521,                 3.5445,                 2.9913,                 2.3051,                0.00267,                    0.5,                0.00278,                0.00068,                      0,                      0,                      0,                      0,                 3.1961,                 22.666,                 3.9388,                 3.7426,              0.0017822,              0.0017822,              0.0017822
